"","commune_station","w_typ","w_typ_de","station_symbol","quant_class","quant_class_radiant","longitude","latitude","type_ouvrage","niveau_categorie","tendance_7j_fr","tendance_7j_de"
"29","Vétroz, SHGN, 313863","piézomètre","Piezometer",1,0,0,7.28816166965833,46.2045701555912,"piézomètre","Indisponible / Non mesuré","Stable (7 derniers jours)","Gleichbleibend (letzte 7 Tage)"
"30","Wilchingen, Tobel","piézomètre","Piezometer",1,0,0,8.45349625266316,47.6711953062949,"piézomètre","Indisponible / Non mesuré","Stable (7 derniers jours)","Gleichbleibend (letzte 7 Tage)"
"31","Worben - Mühligrien (G126)","piézomètre","Piezometer",1,3,3.14159,7.30518320438158,47.1029753405936,"piézomètre","Haut (> 90ème perzentile)","Stable (7 derniers jours)","Gleichbleibend (letzte 7 Tage)"
"32","Abtwil","source","Quelle",1,1,4.71239,9.31762531258926,47.4323628448882,"source","Bas (< 10ème perzentile)","En baisse (7 derniers jours)","Sinkend (letzte 7 Tage)"
"33","Airolo","source","Quelle",1,1,6.28319,8.5930747128176,46.5364394149021,"source","Bas (< 10ème perzentile)","Stable (7 derniers jours)","Gleichbleibend (letzte 7 Tage)"
"34","Alt St. Johann","source","Quelle",1,1,3.14159,9.27981730293428,47.1937531890988,"source","Bas (< 10ème perzentile)","Stable (7 derniers jours)","Gleichbleibend (letzte 7 Tage)"
"35","Andermatt","source","Quelle",1,1,6.28319,8.58741310447238,46.6124635605319,"source","Bas (< 10ème perzentile)","Stable (7 derniers jours)","Gleichbleibend (letzte 7 Tage)"
"36","Bever","source","Quelle",1,1,6.28319,9.88314326303113,46.5557364869331,"source","Bas (< 10ème perzentile)","Stable (7 derniers jours)","Gleichbleibend (letzte 7 Tage)"
"37","Boncourt","source","Quelle",1,2,6.28319,7.00222042234051,47.4640117131112,"source","Normal (10ème - 90ème perzentile)","Stable (7 derniers jours)","Gleichbleibend (letzte 7 Tage)"
"38","Brot-Dessous","source","Quelle",1,2,6.28319,6.74574113971016,46.9524436607029,"source","Normal (10ème - 90ème perzentile)","Stable (7 derniers jours)","Gleichbleibend (letzte 7 Tage)"
"39","Cormoret, Source de la Dou","source","Quelle",1,0,0,7.04203141488577,47.1666346954168,"source","Indisponible / Non mesuré","Stable (7 derniers jours)","Gleichbleibend (letzte 7 Tage)"
"40","Delémont","source","Quelle",1,2,3.14159,7.34290662786739,47.3684442842195,"source","Normal (10ème - 90ème perzentile)","Stable (7 derniers jours)","Gleichbleibend (letzte 7 Tage)"
"41","Enney, La Léchire (Les Frassettes)","source","Quelle",1,2,0,7.07096855223171,46.5582221789359,"source","Normal (10ème - 90ème perzentile)","Stable (7 derniers jours)","Gleichbleibend (letzte 7 Tage)"
"42","Freienstein","source","Quelle",1,3,6.28319,8.59593416007055,47.546647713744,"source","Haut (> 90ème perzentile)","Stable (7 derniers jours)","Gleichbleibend (letzte 7 Tage)"
"43","Hausen","source","Quelle",1,1,0,8.55373444076583,47.2380706830133,"source","Bas (< 10ème perzentile)","Stable (7 derniers jours)","Gleichbleibend (letzte 7 Tage)"
"44","Heitenried","source","Quelle",1,2,6.28319,7.31175096472945,46.8350624014045,"source","Normal (10ème - 90ème perzentile)","Stable (7 derniers jours)","Gleichbleibend (letzte 7 Tage)"
"45","Hellikon 1","source","Quelle",1,2,6.28319,7.92805755543284,47.5108373121532,"source","Normal (10ème - 90ème perzentile)","Stable (7 derniers jours)","Gleichbleibend (letzte 7 Tage)"
"46","Hundwil","source","Quelle",1,1,6.28319,9.3197188959561,47.365554823497,"source","Bas (< 10ème perzentile)","Stable (7 derniers jours)","Gleichbleibend (letzte 7 Tage)"
